date,total_clones,unique_clones
2022-10-19,3,3
2022-10-20,3,3
2022-10-21,3,3
2022-10-22,2,2
2022-10-23,2,2
2022-10-24,2,2
2022-10-25,2,2
2022-10-26,3,3
2022-10-27,2,2
2022-10-28,2,2
2022-10-29,2,2
2022-10-30,0,0
